anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl
20180101,관심,11749,동해귀운,24
20180102,관심,11749,동해귀운,24
20180103,관심,11749,동해귀운,24
20180104,관심,11749,동해귀운,24
20180105,관심,11749,동해귀운,24
20180106,관심,11749,동해귀운,24
20180107,관심,11749,동해귀운,24
20180108,관심,11749,동해귀운,23
20180109,관심,11749,동해귀운,23
20180110,관심,11749,동해귀운,23
20180111,관심,11749,동해귀운,23
20180112,관심,11749,동해귀운,23
20180113,관심,11749,동해귀운,22
20180114,관심,11749,동해귀운,22
20180115,관심,11749,동해귀운,22
20180116,관심,11749,동해귀운,22
20180117,관심,11749,동해귀운,21
20180118,관심,11749,동해귀운,21
20180119,관심,11749,동해귀운,21
20180120,관심,11749,동해귀운,21
20180121,관심,11749,동해귀운,20
20180122,관심,11749,동해귀운,20
20180123,관심,11749,동해귀운,20
20180124,관심,11749,동해귀운,20
20180125,관심,11749,동해귀운,19
20180126,관심,11749,동해귀운,19
20180127,관심,11749,동해귀운,19
20180128,관심,11749,동해귀운,19
20180129,관심,11749,동해귀운,18
20180130,관심,11749,동해귀운,18
20180131,관심,11749,동해귀운,18
20180201,주의,11749,동해귀운,15
20180202,주의,11749,동해귀운,15
20180203,주의,11749,동해귀운,15
20180204,주의,11749,동해귀운,15
20180205,주의,11749,동해귀운,14
20180206,주의,11749,동해귀운,14
20180207,주의,11749,동해귀운,14
20180208,주의,11749,동해귀운,14
20180209,주의,11749,동해귀운,13
20180210,주의,11749,동해귀운,13
20180211,주의,11749,동해귀운,13
20180212,주의,11749,동해귀운,13
20180213,주의,11749,동해귀운,12
20180214,주의,11749,동해귀운,12
20180215,주의,11749,동해귀운,12
20180216,주의,11749,동해귀운,12
20180217,주의,11749,동해귀운,11
20180218,주의,11749,동해귀운,11
20180219,주의,11749,동해귀운,11
20180220,주의,11749,동해귀운,11
20180221,주의,11749,동해귀운,10
20180222,주의,11749,동해귀운,10
20180223,주의,11749,동해귀운,10
20180224,주의,11749,동해귀운,10
20180225,주의,11749,동해귀운,9
20180226,주의,11749,동해귀운,9
20180227,주의,11749,동해귀운,9
20180228,주의,11749,동해귀운,10
20180301,심각,11749,동해귀운,1
20180302,경계,11749,동해귀운,5
20180303,주의,11749,동해귀운,9
20180304,주의,11749,동해귀운,12
20180305,정상,11749,동해귀운,51
20180306,정상,11749,동해귀운,62
20180307,정상,11749,동해귀운,69
20180308,정상,11749,동해귀운,74
20180309,정상,11749,동해귀운,76
20180310,정상,11749,동해귀운,77
20180311,정상,11749,동해귀운,78
20180312,정상,11749,동해귀운,78
20180313,정상,11749,동해귀운,81
20180314,정상,11749,동해귀운,81
20180315,정상,11749,동해귀운,81
20180316,정상,11749,동해귀운,79
20180317,정상,11749,동해귀운,78
20180318,정상,11749,동해귀운,78
20180319,정상,11749,동해귀운,80
20180320,정상,11749,동해귀운,79
20180321,정상,11749,동해귀운,79
20180322,정상,11749,동해귀운,78
20180323,정상,11749,동해귀운,78
20180324,정상,11749,동해귀운,79
20180325,정상,11749,동해귀운,79
20180326,정상,11749,동해귀운,78
20180327,정상,11749,동해귀운,78
20180328,정상,11749,동해귀운,78
20180329,정상,11749,동해귀운,78
20180330,정상,11749,동해귀운,77
20180331,정상,11749,동해귀운,76
20180401,정상,11749,동해귀운,75
20180402,정상,11749,동해귀운,74
20180403,정상,11749,동해귀운,74
20180404,정상,11749,동해귀운,78
20180405,정상,11749,동해귀운,78
20180406,정상,11749,동해귀운,80
20180407,정상,11749,동해귀운,78
20180408,정상,11749,동해귀운,77
20180409,정상,11749,동해귀운,76
20180410,정상,11749,동해귀운,76
20180411,정상,11749,동해귀운,76
20180412,정상,11749,동해귀운,76
20180413,정상,11749,동해귀운,75
20180414,정상,11749,동해귀운,76
20180415,정상,11749,동해귀운,76
20180416,정상,11749,동해귀운,76
20180417,정상,11749,동해귀운,75
20180418,정상,11749,동해귀운,75
20180419,정상,11749,동해귀운,74
20180420,정상,11749,동해귀운,74
20180421,정상,11749,동해귀운,74
20180422,정상,11749,동해귀운,74
20180423,정상,11749,동해귀운,81
20180424,정상,11749,동해귀운,85
20180425,정상,11749,동해귀운,84
