anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl,,¿¬¿ù,Æò±Õ,¿¬µµ,Æò±Õ2
20190101,1,11749,µ¿ÇØ±Í¿î,40,,1901,1,2018,0.35989011
20190102,1,11749,µ¿ÇØ±Í¿î,43,,1902,1,2019,0.422747056
20190103,1,11749,µ¿ÇØ±Í¿î,41,,1903,1.451612903,2020,0.408333333
20190104,1,11749,µ¿ÇØ±Í¿î,40,,1904,0.3,2021,0.874103943
20190105,1,11749,µ¿ÇØ±Í¿î,39,,1905,0.451612903,2022,3
20190106,1,11749,µ¿ÇØ±Í¿î,39,,1906,0.5,,
20190107,1,11749,µ¿ÇØ±Í¿î,38,,1907,0.193548387,,
20190108,1,11749,µ¿ÇØ±Í¿î,37,,1908,0.142857143,,
20190109,1,11749,µ¿ÇØ±Í¿î,36,,1909,0.0333333333,,
20190110,1,11749,µ¿ÇØ±Í¿î,36,,1910,0,,
20190111,1,11749,µ¿ÇØ±Í¿î,35,,1911,0,,
20190112,1,11749,µ¿ÇØ±Í¿î,34,,1912,0,,
20190113,1,11749,µ¿ÇØ±Í¿î,33,,2001,0,,
20190114,1,11749,µ¿ÇØ±Í¿î,33,,2002,0,,
20190115,1,11749,µ¿ÇØ±Í¿î,33,,2003,0,,
20190116,1,11749,µ¿ÇØ±Í¿î,32,,2004,0,,
20190117,1,11749,µ¿ÇØ±Í¿î,32,,2005,0,,
20190118,1,11749,µ¿ÇØ±Í¿î,31,,2006,0.566666667,,
20190119,1,11749,µ¿ÇØ±Í¿î,31,,2007,0,,
20190120,1,11749,µ¿ÇØ±Í¿î,30,,2008,0,,
20190121,1,11749,µ¿ÇØ±Í¿î,30,,2009,0,,
20190122,1,11749,µ¿ÇØ±Í¿î,30,,2010,0,,
20190123,1,11749,µ¿ÇØ±Í¿î,30,,2011,1.333333333,,
20190124,1,11749,µ¿ÇØ±Í¿î,30,,2012,3,,
20190125,1,11749,µ¿ÇØ±Í¿î,30,,2101,3,,
20190126,1,11749,µ¿ÇØ±Í¿î,29,,2102,3,,
20190127,1,11749,µ¿ÇØ±Í¿î,29,,2103,1.193548387,,
20190128,1,11749,µ¿ÇØ±Í¿î,29,,2104,0,,
20190129,1,11749,µ¿ÇØ±Í¿î,29,,2105,0,,
20190130,1,11749,µ¿ÇØ±Í¿î,28,,2106,0,,
20190131,1,11749,µ¿ÇØ±Í¿î,28,,2107,0.129032258,,
20190201,1,11749,µ¿ÇØ±Í¿î,27,,2108,0.516129032,,
20190202,1,11749,µ¿ÇØ±Í¿î,25,,2109,0,,
20190203,1,11749,µ¿ÇØ±Í¿î,24,,2110,0,,
20190204,1,11749,µ¿ÇØ±Í¿î,24,,2111,0.166666667,,
20190205,1,11749,µ¿ÇØ±Í¿î,24,,2112,2.483870968,,
20190206,1,11749,µ¿ÇØ±Í¿î,24,,2201,3,,
20190207,1,11749,µ¿ÇØ±Í¿î,24,,,,,
20190208,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190209,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190210,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190211,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190212,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190213,1,11749,µ¿ÇØ±Í¿î,24,,,,,
20190214,1,11749,µ¿ÇØ±Í¿î,24,,,,,
20190215,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190216,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190217,1,11749,µ¿ÇØ±Í¿î,23,,,,,
20190218,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190219,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190220,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190221,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190222,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190223,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190224,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190225,1,11749,µ¿ÇØ±Í¿î,22,,,,,
20190226,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190227,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190228,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190301,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190302,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190303,2,11749,µ¿ÇØ±Í¿î,9,,,,,
20190304,2,11749,µ¿ÇØ±Í¿î,9,,,,,
20190305,2,11749,µ¿ÇØ±Í¿î,9,,,,,
20190306,2,11749,µ¿ÇØ±Í¿î,9,,,,,
20190307,2,11749,µ¿ÇØ±Í¿î,9,,,,,
20190308,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190309,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190310,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190311,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190312,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190313,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190314,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190315,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190316,2,11749,µ¿ÇØ±Í¿î,10,,,,,
20190317,2,11749,µ¿ÇØ±Í¿î,11,,,,,
20190318,2,11749,µ¿ÇØ±Í¿î,12,,,,,
20190319,2,11749,µ¿ÇØ±Í¿î,12,,,,,
20190320,2,11749,µ¿ÇØ±Í¿î,13,,,,,
20190321,2,11749,µ¿ÇØ±Í¿î,14,,,,,
20190322,1,11749,µ¿ÇØ±Í¿î,16,,,,,
20190323,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190324,1,11749,µ¿ÇØ±Í¿î,31,,,,,
20190325,1,11749,µ¿ÇØ±Í¿î,46,,,,,
20190326,0,11749,µ¿ÇØ±Í¿î,51,,,,,
20190327,0,11749,µ¿ÇØ±Í¿î,54,,,,,
20190328,0,11749,µ¿ÇØ±Í¿î,56,,,,,
20190329,0,11749,µ¿ÇØ±Í¿î,58,,,,,
