anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl
20190101,관심,11749,동해귀운,40
20190102,관심,11749,동해귀운,43
20190103,관심,11749,동해귀운,41
20190104,관심,11749,동해귀운,40
20190105,관심,11749,동해귀운,39
20190106,관심,11749,동해귀운,39
20190107,관심,11749,동해귀운,38
20190108,관심,11749,동해귀운,37
20190109,관심,11749,동해귀운,36
20190110,관심,11749,동해귀운,36
20190111,관심,11749,동해귀운,35
20190112,관심,11749,동해귀운,34
20190113,관심,11749,동해귀운,33
20190114,관심,11749,동해귀운,33
20190115,관심,11749,동해귀운,33
20190116,관심,11749,동해귀운,32
20190117,관심,11749,동해귀운,32
20190118,관심,11749,동해귀운,31
20190119,관심,11749,동해귀운,31
20190120,관심,11749,동해귀운,30
20190121,관심,11749,동해귀운,30
20190122,관심,11749,동해귀운,30
20190123,관심,11749,동해귀운,30
20190124,관심,11749,동해귀운,30
20190125,관심,11749,동해귀운,30
20190126,관심,11749,동해귀운,29
20190127,관심,11749,동해귀운,29
20190128,관심,11749,동해귀운,29
20190129,관심,11749,동해귀운,29
20190130,관심,11749,동해귀운,28
20190131,관심,11749,동해귀운,28
20190201,관심,11749,동해귀운,27
20190202,관심,11749,동해귀운,25
20190203,관심,11749,동해귀운,24
20190204,관심,11749,동해귀운,24
20190205,관심,11749,동해귀운,24
20190206,관심,11749,동해귀운,24
20190207,관심,11749,동해귀운,24
20190208,관심,11749,동해귀운,23
20190209,관심,11749,동해귀운,23
20190210,관심,11749,동해귀운,23
20190211,관심,11749,동해귀운,23
20190212,관심,11749,동해귀운,23
20190213,관심,11749,동해귀운,24
20190214,관심,11749,동해귀운,24
20190215,관심,11749,동해귀운,23
20190216,관심,11749,동해귀운,23
20190217,관심,11749,동해귀운,23
20190218,관심,11749,동해귀운,22
20190219,관심,11749,동해귀운,22
20190220,관심,11749,동해귀운,22
20190221,관심,11749,동해귀운,22
20190222,관심,11749,동해귀운,22
20190223,관심,11749,동해귀운,22
