지역번호,지역명,일시,평균습도(%rh),최저습도(%rh),최저습도지점,최저2,최저3
0,전국, 2023-07,,25,태백,,
0,전국, 2023-06,75,15,고창,,
0,전국, 2023-05,69,8,합천,,
0,전국, 2023-04,62,1,광주,,
0,전국, 2023-03,55,1,광주,정선군,의령군
0,전국, 2023-02,60,3,광주,정선군,
0,전국, 2023-01,63,2,진주,,
0,전국, 2022-12,62,6,밀양,,
0,전국, 2022-11,68,2,대관령,,
0,전국, 2022-10,73,9,태백,함양군,
0,전국, 2022-09,77,13,청주,,
0,전국, 2022-08,83,23,청송군,,
0,전국, 2022-07,81,23,청송군,,
0,전국, 2022-06,76,2,정선군,,
0,전국, 2022-05,57,1,정선군,,
0,전국, 2022-04,60,1,고창,의령군,
0,전국, 2022-03,65,1,의령군,함양군,
0,전국, 2022-02,52,1,의령군,함양군,
0,전국, 2022-01,57,1,함양군,,
0,전국, 2021-12,64,2,함양군,,
0,전국, 2021-11,71,6,함양군,,
0,전국, 2021-10,77,10,백령도,,
0,전국, 2021-09,80,9,부안,,
0,전국, 2021-08,83,25,대구,,
0,전국, 2021-07,80,22,대구,,
0,전국, 2021-06,77,13,대구,,
0,전국, 2021-05,71,2,함양군,,
0,전국, 2021-04,59,1,의령군,,
0,전국, 2021-03,68,3,성산,청송군,
0,전국, 2021-02,58,2,의령군,,
0,전국, 2021-01,63,4,창원,,
0,전국, 2020-12,60,3,북강릉,,
0,전국, 2020-11,65,6,속초,영월,
0,전국, 2020-10,69,8,진주,,
0,전국, 2020-09,80,22,인천,,
0,전국, 2020-08,85,17,북창원,,
0,전국, 2020-07,86,25,원주,,
0,전국, 2020-06,75,14,밀양,,
0,전국, 2020-05,72,8,북춘천,,
0,전국, 2020-04,55,2,구미,,
0,전국, 2020-03,60,1,광주,,
0,전국, 2020-02,67,5,추풍령,함양군,구미
0,전국, 2020-01,68,9,북강릉,의령군,
