발생장소_시도,발생원인_기타
전남,담뱃불실화
경북,입산자실화
울산,담뱃불실화
경북,하우스화재비화
경북,아궁이재투기
부산,입산자실화
울산,농산부산물소각(고춧대)
경남,창고화재(용접)
울산,불씨취급부주의
경남,주택화재비화
경남,컨테이너화재비화
강원,주택화재비화
경남,입산자실화
경북,입산자실화
경남,입산자실화
전남,입산자실화
강원,주택화재비화
경북,아궁이재투기
경남,입산자실화
전남,입산자실화
강원,미상
대구,입산자실화
울산,용접
울산,입산자실화
경남,입산자실화
충북,미상
경남,건축물실화(물탱크열선과열)
전남,입산자실화
전남,입산자실화
경남,방화추정
경남,입산자실화
강원,미상
강원,미상
경기,건축물실화
대구,쓰레기소각
경남,건축물실화(전기누전)
경기,미상
경기,미상
부산,조사중
울산,입산자실화
전남,낚시객실화추정
세종,담뱃불실화
강원,쓰레기소각
울산,입산자실화
강원,헬기추락
부산,담뱃불실화추정
경기,입산자실화
강원,미상
전북,미상
충남,공장화재비;화
경기,미상
경기,전투기추락
경기,담뱃불실화
충남,입산자실화(버섯채취자)
경기,재처리부주의
울산,입산자실화
경북,쓰레기소각(낙엽)
경남,쓰레기소각
충남,미상
경남,입산자실화
경북,산업현장실화
경북,미상
충남,미상
경기,미상
전북,무속행위추정
경남,지붕용접불씨점화
경남,농산부산물소각
전남,입산자실화
울산,입산자실화
경남,입산자실화
서울,입산자실화
경북,입산자실화
경북,입산자실화
경북,차량화재비화
대전,미상
부산,농산부산물소각
경남,농산폐기물소각
경남,방화추정
전남,쓰레기소각
광주,원인미상
경북,입산자실화
경기,입산자실화(버섯채취자추정)
경기,입산자실화
전남,담뱃불실화
광주,원인미상
전남,생활쓰레기소각(낙엽)
세종,입산자실화
경기,입산자실화
경북,쓰레기소각
전남,차량화재
경남,원인미상(방화추정)
경남,농산폐기물(고춧대)소각
경남,입산자실화
경남,미상(방화추정)
강원,담뱃불실화
경남,입산자실화
경북,데크설치그라인더작업불꽃
전남,입산자실화
경남,조사중
광주,원인미상
대구,입산자실화
울산,입산자실화
대구,입산자실화
대구,입산자실화
전남,담뱃불실화
경남,입산자실화
강원,미상
강원,미상
경남,입산자실화
전남,입산자실화
경북,미상
강원,미상
전남,입산자실화
전북,미상
강원,미상
전남,쓰레기소각
전북,미상
충남,미상
충북,입산자실화(산나물채취자담뱃불)
충남,입산자실화
경북,조류퇴치폭음탄
경북,입산자실화
충남,미상
전북,묘지주변소각
대구,담뱃불실화
경북,담뱃불실화추정
충남,사업장내벌집제거작업불씨
강원,산림사업장실화
경기,미상
충남,입산자싫화추정
경기,입산자실화
경기,입산자실화
경기,담뱃불실화
강원,불씨취급부주의
울산,입산자실화
충북,창고화재
서울,입산자실화
대전,미상
경기,입산자실화
전북,담뱃불실화추정
전남,영접불꽃
강원,미상
경기,식당지붕화재비화
서울,입산자실화
경북,입산자실화
충북,입산자실화
경북,쓰레기소각
경기,용접불씨비화추정
전북,공사장용접불티발화
경북,양수기전기합선
경기,입산자실화
대구,농산폐기물소각
경기,미상
경남,미상
경남,아궁아불씨부주의
전북,화목보일러추정
경남,입산자실화
부산,입산자실화
경남,입산자실화
전남,입산자실화
경남,담뱃불실화
경북,도로낙석방지망용접작업불꽃비화
경북,공장화재비화
경남,주택화재
경남,담뱃불실화
부산,조사중
전북,미상(입산자실화)
경남,주택화재비화
부산,입산자실화(담뱃물)
경기,미상
경남,입산자실화(연막소독기불씨비화)
경북,입산자실화
경남,밭두렁소각
강원,주택화재비화
경남,미상
경기,미상
강원,미상
울산,입산자실화
강원,생활쓰레기소각
전남,입산자실화
경북,입산자실화
경남,방화추정
경기,미상
경기,그라인더작업실화추정
부산,조사중
경남,입산자실화
서울,미상
전북,전봇대발화
