연도,35% 이하 발생일수,25% 이하 발생일수
1974,2,0
1975,2,0
1976,2,0
1977,5,0
1978,4,0
1979,2,0
1980,5,0
1981,4,0
1982,3,0
1983,4,0
1984,9,1
1985,4,0
1986,4,0
1987,5,0
1988,8,0
1989,2,0
1990,3,0
1991,3,0
1992,2,0
1993,2,0
1994,5,0
1995,7,0
1996,11,0
1997,8,0
1998,5,0
1999,9,0
2000,23,1
2001,19,2
2002,14,1
2003,7,0
2004,17,1
2005,20,2
2006,11,1
2007,8,0
2008,14,1
2009,17,1
2010,10,1
2011,21,2
2012,15,1
2013,11,1
2014,13,1
2015,16,1
2016,12,1
2017,21,1
2018,20,3
2019,18,2
2020,10,0
2021,8,0
