발생일시_년,발생일시_월,발생장소_시도,피해면적_합계
2022,12,전라남도,0.02
2022,12,경상북도,0.01
2022,12,경상북도,0.2
2022,12,경상북도,0.1
2022,12,경상남도,2
2022,12,경상북도,0.2
2022,12,경상남도,0.06
2022,12,경상북도,0.02
2022,12,경상남도,0.05
2022,12,경상남도,0.06
2022,12,강원도,0.03
2022,12,경상남도,0.1
2022,12,경상북도,0.16
2022,12,경상남도,0.03
2022,12,전라남도,0.03
2022,12,강원도,0.3
2022,12,경상북도,0.06
2022,12,경상남도,0.01
2022,12,전라남도,0.05
2022,12,강원도,5.2
2022,12,경상북도,0.01
2022,12,경상북도,0.02
2022,12,경상북도,0.02
2022,12,경상남도,0.2
2022,12,충청북도,0.05
2022,12,경상남도,0.01
2022,12,전라남도,0.05
2022,12,전라남도,0.1
2022,12,경상남도,0.01
2022,12,경상남도,0.1
2022,12,강원도,0.02
2022,12,강원도,0.9
2022,12,경기도,0.13
2022,12,경상북도,0.1
2022,12,경상남도,0.01
2022,12,경기도,0.06
2022,11,경기도,0.06
2022,11,경상남도,0.3
2022,11,경상북도,0.1
2022,11,전라남도,0.05
2022,11,충청남도,0.03
2022,11,강원도,0.04
2022,11,경상북도,0.01
2022,11,강원도,0.01
2022,11,경상남도,0.06
2022,11,경기도,0.01
2022,11,강원도,1
2022,11,전라북도,5
2022,11,충청남도,0.16
2022,11,경기도,0.5
2022,11,경기도,0.5
2022,11,경기도,0.1
2022,11,충청남도,0.01
2022,11,경기도,0.06
2022,11,경상북도,0.5
2022,11,경상북도,0.02
2022,11,경상남도,0.34
2022,11,충청남도,0.01
2022,11,경상남도,0.11
2022,11,경상북도,0.03
2022,11,경상북도,0.5
2022,11,충청남도,0.06
2022,11,경기도,0.2
2022,11,전라북도,0.02
2022,11,경상남도,0.01
2022,11,경상남도,0.1
2022,11,전라남도,0.05
2022,11,경상북도,0.01
2022,11,경상남도,0.5
2022,11,경기도,0.3
2022,11,경상북도,0.8
2022,11,경상북도,0.02
2022,11,경상북도,0.5
2022,11,충청남도,0.01
2022,11,경상남도,0.03
2022,11,경상남도,0.01
2022,11,경상남도,0.01
2022,11,전라남도,0.02
2022,11,경상남도,0.02
2022,11,경상북도,0.4
2022,11,경기도,3
2022,11,경기도,0.03
2022,11,전라남도,0.05
2022,10,경상남도,0.04
2022,10,전라남도,0.04
2022,10,충청남도,0.01
2022,10,경기도,0.3
2022,10,경상북도,0.02
2022,10,전라남도,0.1
2022,10,경상남도,0.26
2022,10,경상남도,0.01
2022,10,경상남도,0.05
2022,10,경상남도,0.03
2022,10,강원도,0.1
2022,10,경상남도,0.1
2022,10,경상북도,0.3
2022,10,전라남도,0.3
2022,10,경상남도,0.05
2022,10,경상남도,0.1
2022,10,경상북도,0.01
2022,10,경상북도,0.01
2022,10,경상북도,0.01
2022,10,경상북도,0.01
2022,10,전라남도,0.1
2022,10,경상남도,0.1
2022,10,강원도,0.04
2022,10,강원도,0.01
2022,9,경상남도,0.01
2022,9,전라남도,0.01
2022,9,경상북도,0.09
2022,9,강원도,0.01
2022,9,전라남도,0.3
2022,9,전라북도,0.2
2022,9,강원도,0.12
2022,9,전라남도,0.1
2022,9,전라북도,0.35
2022,9,충청남도,0.03
2022,9,충청북도,0.2
2022,7,충청남도,0.1
2022,7,경상북도,0.05
2022,7,경상북도,0.3
2022,6,충청남도,0.01
2022,6,전라북도,0.02
2022,6,경상북도,0.33
2022,6,경상북도,0.2
2022,6,충청남도,0.01
2022,6,강원도,0.01
2022,6,경기도,0.01
2022,6,충청남도,0.01
2022,6,경기도,0.01
2022,6,경기도,0.1
2022,6,경기도,0.01
2022,6,강원도,0.06
2022,6,경상북도,0.2
2022,6,충청북도,0.32
2022,6,경기도,0.01
2022,6,충청남도,0.01
2022,6,경기도,0.01
2022,6,전라북도,0.3
2022,6,전라남도,1
2022,6,강원도,0.32
2022,6,경기도,0.04
2022,6,경기도,0.01
2022,6,경상북도,0.06
2022,6,충청북도,2.4
2022,6,경상북도,0.5
2022,6,경기도,1
2022,5,전라북도,0.1
2022,5,경상북도,0.1
2022,5,경기도,0.03
2022,5,경상북도,5.3
2022,5,경기도,0.01
2022,5,경상남도,660.82
2022,5,경상남도,0.2
2022,5,전라북도,0.2
2022,5,경상남도,0.01
2022,5,경상남도,0.7
2022,5,경상남도,0.1
2022,5,전라남도,0.5
2022,5,경상남도,0.15
2022,5,경상북도,228.76
2022,5,경상북도,0.03
2022,5,경상남도,0.1
2022,5,경상남도,0.06
2022,5,경상남도,0.01
2022,5,전라북도,0.01
2022,5,경상남도,0.1
2022,5,경상남도,0.01
2022,5,경기도,1.05
2022,5,경상남도,3.95
2022,5,경상북도,0.2
2022,5,경상남도,1.1
2022,5,강원도,0.02
2022,5,경상남도,0.3
2022,5,경기도,0.01
2022,5,강원도,0.21
2022,5,경상북도,0.01
2022,5,강원도,0.1
